Stkcd,Year,Net Fixed Assets,Total Assets,Total liabilities,Depreciation and amortization,Net profit,Trdsta,Nnindcd,OWNERSHIPTYPECODE,M2,Lev,NPR,Size,Tang,Growth,NDTS,SOE
002159,2014,784591526.3,2090686253.0,943112895.8,55414226.77,-25937385.26,1.0,N,P0301,11.0119364,0.4511020696896503,-0.0124061586107344,21.46075819974553,0.375279420895489,0.2504452953076099,0.0265052810724154,1
002159,2015,838497756.3,2238295543.0,1037287374.0,60685209.82,62543579.54,1.0,N,P0301,13.3431019,0.4634273508893816,0.0279425028279207,21.52898049486452,0.3746144064497205,0.0706032719104505,0.0271122417277672,1
002159,2016,1182219828.0,2574393477.0,1711319291.0,66778366.12,-44129637.39,1.0,N,P0301,11.3331207,0.6647465922708287,-0.0171417608785372,21.668879800404905,0.4592226629542535,0.1501579784899746,0.0259394559210188,1
002159,2017,1299192125.0,2672184867.0,1803509604.0,79213994.38,5001827.19,1.0,N,P0301,8.1739625,0.674919473675771,0.0018718118090442,21.70616227697901,0.4861909597065314,0.0379861862118911,0.0296439050150492,1
002159,2018,1127508815.0,2863827357.0,1887933459.0,79452508.88,141895893.8,1.0,N,P0301,8.9443284,0.6592343824027518,0.049547642406993,21.77542480385078,0.3937069782660086,0.0717175268697455,0.0277434701801404,1
002159,2019,1302646817.0,2876048555.0,1754361235.0,82315865.67,23781794.48,1.0,N,P0301,8.7447711,0.6099901310602178,0.0082689127200774,21.779683159486066,0.4529293550122278,0.0042674353152357,0.0286211668877753,1
002159,2020,1310853215.0,2712996633.0,1216364190.0,102629631.4,26879373.86,1.0,N,P0301,10.0834733,0.4483471063710679,0.0099076325908584,21.72131962956088,0.4831753932368408,-0.0566930352119872,0.0378288827017501,1
002159,2021,1139772137.0,2551982761.0,1286922548.0,109036136.7,-178411326.8,1.0,N,P0301,8.9676257,0.5042834017796094,-0.0699108667685863,21.66013644731209,0.4466221929153541,-0.0593490865567174,0.0427260475134534,1
002159,2022,969659475.4,1872206393.0,711911423.1,91266306.47,-84453563.14,1.0,N,P0301,11.8100353,0.3802526397526301,-0.0451091094741283,21.35038346159537,0.5179233865590159,-0.2600749428609184,0.0487479942442435,1
002159,2023,907543397.4,1696702522.0,394462071.8,90554575.04,140631881.7,1.0,N,P0301,9.6982498,0.2324874671224187,0.0828854085359814,21.251952511426868,0.5348865730041038,-0.0937417325654864,0.0533709202796835,1
002159,2024,848596067.9,1851252770.0,437223154.7,81842308.23,164353096.5,1.0,N,P0301,7.2743696,0.2361769077596032,0.0887793926163848,21.339128419831457,0.4583901678105254,0.0910885944919931,0.04420914828935,1
002159,2025,802446771.0,1897163970.0,379781258.6,68984866.96,154006557.2,1.0,N,P0301,8.5342965,0.2001836765854245,0.0811772517480394,21.363625960642523,0.4229717534641984,0.0248000709271052,0.0363621005094251,1
002161,2010,85528573.97,777751716.4,205889762.6,11538663.19,101785096.7,1.0,C39,P0306,19.7330678,0.2647242793021498,0.1308709380560873,20.4719179006184,0.1099689941745013,0.2439871926168632,0.0148359212158467,0
002161,2011,201106579.6,1421513042.0,85767298.39,15252939.79,116587750.2,1.0,C39,P0306,17.3229731,0.0603352173746711,0.0820166588383647,21.074987663828576,0.1414736085129777,0.8277208677594377,0.0107300737589715,0
002161,2012,267392639.8,1776717401.0,346920231.0,23231937.49,141264465.1,1.0,C39,P0306,14.3916404,0.1952590945553529,0.0795086855233653,21.298033341958288,0.1504981262914979,0.2498776645061551,0.0130757640336748,0
002161,2013,267041161.6,1575547362.0,133532552.3,31958869.68,41715140.28,1.0,C39,P0306,13.5889076,0.0847531185165349,0.0264766019010985,21.17786858027752,0.1694910404096122,-0.1132256817470095,0.0202842963980666,0
002161,2014,261159269.6,1725017380.0,228275757.0,36780431.28,47229992.69,1.0,C39,P0306,11.0119364,0.1323324388766448,0.0273794300495685,21.26850296274129,0.151395152667969,0.0948686289000304,0.0213217743232245,0
002161,2015,233783402.0,1880593827.0,269650469.6,46001819.2,12520609.0,1.0,C39,P0306,13.3431019,0.1433858102310999,0.0066577954368665,21.35485342933882,0.1243136070338701,0.0901883359575194,0.0244613262787233,0
002161,2016,181490039.5,2133208927.0,496364877.4,46765694.9,38024577.0,1.0,C39,P0306,11.3331207,0.2326846053930844,0.0178250599454762,21.48089322147477,0.0850784174034163,0.1343273046912963,0.0219226979167802,0
002161,2017,152814781.0,2262630540.0,592104198.8,43973244.22,1687503.69,1.0,C39,P0306,8.1739625,0.2616884145831427,0.0007458149530678,21.539793929111504,0.0675385478532434,0.0606699190885206,0.0194345667322248,0
002161,2018,176693086.7,2159202820.0,748154406.8,45491482.01,-195470117.8,1.0,C39,P0306,8.9443284,0.3464956602826222,-0.0905288359154699,21.49300492570649,0.0818325564710034,-0.0457112719781462,0.0210686469972283,0
002161,2019,135427824.1,2634026584.0,635546277.8,44554379.72,737117394.2,1.0,C39,P0306,8.7447711,0.2412831676265268,0.18361699672530446,21.691779532851346,0.051414752198264,0.2199069765942599,0.0169149316831648,0
002161,2020,132945334.4,2788680155.0,1280421154.0,55012441.11,-439700740.3,1.0,C39,P0306,10.0834733,0.4591495197842077,-0.15767342106682,21.7488342581262,0.0476732099095817,0.0587137472109886,0.0197270529613676,0
002161,2021,225687546.4,2749771349.0,1296534035.0,57013192.91,-68327418.43,1.0,C39,P0306,8.9676257,0.471506125580771,-0.0248484000150952,21.734783599349903,0.0820750228858392,-0.0139524089667429,0.0207337940773634,0
002161,2022,210771009.2,2788271523.0,1346585296.0,37584957.89,-31197554.97,1.0,C39,P0306,11.8100353,0.4829462571676524,-0.0111888511261031,21.748687714987824,0.0755919957799604,0.0140012274162363,0.0134796620701993,0
002161,2023,203055010.8,2725064647.0,1231213859.0,34420048.9,27659846.02,1.0,C39,P0306,9.6982498,0.4518108810209081,0.0101501614100973,21.725757988449946,0.0745138325520246,-0.0226688381954973,0.0126309109539447,0
002161,2024,179340283.9,2699505021.0,1163813202.0,33010899.92,27241000.39,1.0,C39,P0306,7.2743696,0.4311209621565656,0.0100911093619336,21.71633426759496,0.0664345065131849,-0.0093794567509208,0.0122285010263739,0
002165,2010,311292520.7,1145413111.0,532734855.7,22107044.14,98243150.97,1.0,C26,P0306,19.7330678,0.4651028092693099,0.0857709327984111,20.859031204514707,0.2717731425548524,0.4975682358328965,0.0193004985953928,0
002165,2011,296861400.1,1536929409.0,613702865.6,30413554.22,82613995.04,1.0,C26,P0306,17.3229731,0.3993045236861623,0.0537526281664117,21.153052372666764,0.193152267346587,0.3418123070532933,0.0197885173137447,0
002165,2012,623446264.0,1761702838.0,763695296.7,38459716.09,84475351.12,1.0,C26,P0306,14.3916404,0.4334983631898991,0.0479509649969696,21.289546699840045,0.3538884371145004,0.1462483752889135,0.0218309894611181,0
002165,2013,706495014.2,1834017288.0,840171276.1,52916876.69,45176813.64,1.0,C26,P0306,13.5889076,0.4581043382727371,0.0246327087185014,21.32977463712666,0.3852172053244026,0.0410480408160641,0.0288529868481806,0
002165,2014,705839250.3,1785160254.0,749186894.9,56868324.49,100051441.9,1.0,C26,P0306,11.0119364,0.419674868528638,0.0560461962312992,21.302774026299456,0.3953926538070906,-0.0266393530310058,0.0318561453306925,0
002165,2015,654319060.7,1792480613.0,699129898.7,56218080.18,108752798.2,1.0,C26,P0306,13.3431019,0.3900348453587431,0.0606716733287201,21.30686631475892,0.3650355021719836,0.0041006733057143,0.0313632849205047,0
002165,2016,690527807.3,2498473916.0,909293709.9,56555107.83,135240664.5,1.0,C26,P0306,11.3331207,0.3639396449476481,0.0541293081484385,21.63894594883012,0.2763798344573152,0.3938638431455102,0.0226358608220106,0
002165,2017,662519065.1,2931751764.0,1342262510.0,61698944.64,47628121.38,1.0,C26,P0306,8.1739625,0.4578363442915285,0.0162456187337694,21.79886595299368,0.2259806144692406,0.173416998762856,0.0210450780306923,0
002165,2018,667810561.7,3635897763.0,2128068886.0,64344857.67,30993142.47,1.0,C26,P0306,8.9443284,0.5852939286840998,0.0085242062594266,22.014121894879526,0.18367143556561,0.2401792701709789,0.017697103126714,0
002165,2019,595720430.7,3818099295.0,2244139699.0,66944944.21,89814976.81,1.0,C26,P0306,8.7447711,0.5877635770077583,0.023523478534887,22.063018568983555,0.1560253897744689,0.0501118413873289,0.0175335786310397,0
002165,2020,1750390248.0,4333408324.0,2664315265.0,88113260.34,118554566.4,1.0,C26,P0306,10.0834733,0.6148313442432941,0.0273582726426682,22.18962021112856,0.4039292208642556,0.1349648055708829,0.020333477427455,0
002165,2021,1893869861.0,5442459572.0,3305402915.0,161911356.9,27503719.71,1.0,C26,P0306,8.9676257,0.6073362367274926,0.0050535459834188,22.41749692284144,0.3479805106396112,0.2559304743699477,0.0297496664436407,0
002165,2022,1772799325.0,5603712759.0,3569655527.0,172299708.0,-83106227.77,1.0,C26,P0306,11.8100353,0.6370161499207565,-0.014830565259885,22.446695207683533,0.3163615626359052,0.029628734006515,0.0307474196858633,0
002165,2023,1055085648.0,4879117630.0,2832112573.0,109659037.2,38273708.09,1.0,C26,P0306,9.6982498,0.5804558913657509,0.0078443913413089,22.30823022693814,0.216245175462187,-0.1293062582189359,0.0224751779964772,0
002165,2024,995996753.7,4804500784.0,2770503204.0,87731115.44,58954562.37,1.0,C26,P0306,7.2743696,0.5766474663145773,0.0122706947132428,22.29281897886193,0.2073049414450881,-0.0152931024948459,0.0182601938024785,0
002166,2010,192573948.0,548099759.3,320986146.4,12635759.48,-24616918.56,1.0,C27,P0306,19.7330678,0.5856345326805912,-0.022882696572548322,20.12196787086281,0.3513483535295543,0.3375363739985934,0.0230537584912236,0
002166,2011,164786670.4,926121569.5,696646325.2,17534328.7,2519780.2,1.0,C27,P0306,17.3229731,0.752219091038026,0.0027207877269939,20.646516068550625,0.1779320078777195,0.6896952676694964,0.018933074530881,0
002166,2012,151304257.7,908157355.0,744794915.2,15211500.46,-66006477.52,1.0,C27,P0306,14.3916404,0.8201165922396786,-0.0693254560911008,20.62692822000928,0.1666057725205562,-0.0193972531162389,0.016749851087205,0
002166,2013,145130202.5,1149099935.0,951724410.2,16990976.42,34430983.68,1.0,C27,P0306,13.5889076,0.8282346741234478,0.0299634371487454,20.862244807661853,0.1262990259415513,0.2653092866268753,0.014786334854331,0
002166,2014,136329276.4,1500502077.0,1261402148.0,17480728.27,41587645.45,1.0,C27,P0306,11.0119364,0.8406533835141102,0.0277158199828336,21.129065607049004,0.0908557732039713,0.3058064240513598,0.0116499194089419,0
002166,2015,131085820.4,2029927403.0,1233989208.0,18078077.19,75290260.11,1.0,C27,P0306,13.3431019,0.6078981968400966,0.0370901245033342,21.431265867291664,0.0645766051565539,0.3528321180724363,0.0089057752327904,0
002166,2016,156881128.8,2431269695.0,1585453719.0,18501764.48,69554648.54,1.0,C27,P0306,11.3331207,0.6521093576169468,0.0286083640507023,21.61167946606943,0.0645264197232549,0.1977126331743993,0.0076099186026336,0
002166,2017,571307991.8,2896950514.0,1845931366.0,25337037.33,205888239.6,1.0,C27,P0306,8.1739625,0.6371981009268977,0.0710706788414266,21.78692447377896,0.1972101314948454,0.191538116876828,0.0087461063651431,0
002166,2018,567270232.2,2122029855.0,1008216347.0,32934299.92,81552400.86,1.0,C27,P0306,8.9443284,0.4751188323879637,0.0384313164434719,21.475638946313502,0.2673243408255442,-0.2674953042018032,0.0155201868825733,0
002166,2019,549902098.3,2599695710.0,842110387.8,36462376.63,104848769.8,1.0,C27,P0306,8.7447711,0.3239265213081418,0.0403311700660536,21.678660240509377,0.2115255628513538,0.2250985554583538,0.0140256324960431,0
002166,2020,650764118.0,3162557184.0,1353428006.0,39579020.36,86177681.72,1.0,C27,P0306,10.0834733,0.4279536866075525,0.0272493671121552,21.874646772733808,0.2057714944388496,0.2165105215333067,0.0125148789594186,0
002166,2021,613181667.9,3259000828.0,1358207861.0,55412064.79,131185060.3,1.0,C27,P0306,8.9676257,0.4167559116066601,0.0402531534122089,21.90468649086747,0.1881502031640478,0.0304954624972245,0.0170027771438172,0
